title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
Money Talks	1997	25000000	97	6.1	21204	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	578123177	Wright,Michael(I)	Paulin,Viveca	Ratner,Brett	Sokolow,Alec	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Money Train	1995	60000000	110	5.5	29201	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	R	35324232	Zúñiga,José(I)	Washington,Windi	Ruben,Joseph	Richardson,Doug(I)	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Money for Nothing	1993	11000000	100	5.7	2947	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	R	1044824	Venito,Lenny	Zajko,Betsy	Menéndez,Ramón(I)	Sobieski,Carol	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moneyball	2011	50000000	133	7.6	252848	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	PG-13	110206216	Zagaris,Ari	Wright,Robin(V)	Miller,Bennett(I)	Zaillian,Steven	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mongol	2007	20000000	126	7.3	34793	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	R	49702979	Tuvshinbayar,Amarbold	Qi,LiJia(I)	Bodrov,Sergey	Bodrov,Sergey	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Monkey Shines	1988	7000000	113	6.2	6907	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		5344577	Tucci,Stanley(I)	Wiggins,Tudi	Romero,GeorgeA.(I)	Stewart,Michael(IV)	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monkeybone	2001	75000000	93	4.7	13126	4.5	4.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	PG-13	2210366	Workman,Scott	Zane,Lisa	Selick,Henry	Hamm,Sam	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monogamy	2010	5000000	96	5.0	575	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	14.5		53738	Wilson,RichardN.(I)	Tremaine,Emily	Shapiro,DanaAdam	Wiener,EvanM.	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monsieur Verdoux	1947	2000000	124	8.0	10079	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	14.5		1500000	Watkin,Pierre	Vallon,Nanette	Chaplin,Charles	Welles,Orson	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monster	2003	4500000	109	7.3	92830	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5	4.5	R	60378584	Wilson,Scott(I)	Theron,Charlize	Jenkins,Patty	Jenkins,Patty	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monster House	2006	75000000	91	7.5	75	4.5	4.5	4.5	4.5	4.5	14.5	4.5	24.5	14.5	24.5	PG	140175006	Willard,Fred	Turner,Kathleen(I)	Kenan,Gil(I)	Schrab,Rob	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monster from the Ocean Floor	1954	28000	51	3.2	334	14.5	24.5	24.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5		117000	Wade,Stuart(I)	Palange,Inez	Ordung,Wyott	Danch,Bill(I)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monster's Ball	2001	4000000	112	7.1	66764	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	R	379580805	Wilmot,John(I)	Witcher,Gabrielle	Forster,Marc(I)	Rokos,Will	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monster-in-Law	2005	60000000	101	5.4	37826	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	PG-13	16300000	Vartan,Michael	Wyss,Amanda	Luketic,Robert	Kochoff,Anya(II)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monsters	2010	800000	94	6.4	67987	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	R	1516758	ZunigaBenavides,Mario	Valdez,Claudia(II)	Ellingsen,Ray	Ellingsen,Ray	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
