title	year	budget	length	rating	votes	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	mpaa	boxoffice	actor	actress	director	writer	Short	Drama	Comedy	Documentary	Adult	Action	Romance	Thriller	Animation	Family	Crime	Horror	Music	Adventure	Fantasy	Sci-Fi	Mystery	Biography	History	Sport	Musical	Western	War	Reality-TV	News	Talk-Show	Game-Show	Film-Noir	Lifestyle	Experimental	Erotica	Commercial
'Gung Ho!': The Story of Carlson's Makin Island Raiders	1943	866898	88	6.2	898	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5		2176489	Wong,Bruce(I)	McDonald,Grace	Enright,Ray	LeFrançois,W.S.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
'Til There Was You	1997	10000000	113	4.7	2214	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	PG-13	13564657	Winant,Bruce	Zima,Yvonne	Winant,Scott(I)	Holzman,Winnie	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(500) Days of Summer	2009	7500000	95	7.8	320459	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	14.5	PG-13	60722734	Woodward,JonMorgan	Weiss,Gelsey	Webb,Marc(I)	Weber,MichaelH.	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 Questions for the Dalai Lama	2006	100000	86	7.5	568	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5		1698530	Tethong,Tenzin		Ray,Rick(II)	Ray,Rick(II)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 Things I Hate About You	1999	16000000	97	7.2	187762	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	PG-13	737720177	Zorich,Jay	Union,Gabrielle(I)	Junger,Gil	Smith,Kirsten(I)	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 to Midnight	1983	4520000	101	6.2	3722	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5		7100000	Wood,KyleJ.	Tippo,Patti	LeeThompson,J.	Roberts,William(I)	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10,000 BC	2008	105000000	109	5.0	98539	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	PG-13	269784201	Zinal,Mo	Westbury,Hannah	Emmerich,Roland	Kloser,Harald	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100 Feet	2008	10000000	104	5.6	9447	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	R	481671	Westwick,Ed	Kandech,Evelyne	Red,Eric	Red,Eric	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101 Dalmatians	1996	54000000	103	5.6	62487	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5		3273944994	Williams,Mark(I)	Richardson,Joely	Herek,Stephen	Smith,Dodie	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102 Dalmatians	2000	85000000	100	4.8	22957	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	4.5		183611771	Willcox,Tim	Watson,June(I)	Lima,Kevin	White,Noni	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10th & Wolf	2006	8000000	107	6.4	5338	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	161688	Wholey,DanielM.	Warren,LesleyAnn	Moresco,Robert(I)	Steele,Allan(I)	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2007	4000000	159	7.8	10466	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	PG-13	1171291	Verzhbitskiy,Viktor	Surkova,Natalya(I)	Mikhalkov,Nikita	Novototskiy-Vlasov,Aleksandr	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
12 Rounds	2009	22000000	108	5.6	20427	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	PG-13	108210498	Wozniak,Michael	Zumo,Lynette	Harlin,Renny	Kunka,Daniel	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12 Years a Slave	2013	20000000	134	8.1	315624	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5	R	178413838	Zeigler,Cameron	Young,RoséBelara	McQueen,Steve(III)	Ridley,John(I)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
12 and Holding	2005	400000	90	7.6	5867	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	600798	SiravoIV,MichaelA.	Wever,Merritt	Cuesta,Michael	Cipriano,Anthony(I)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127 Hours	2010	18000000	94	7.7	242337	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	60738797	Wood,Jeffrey(IV)	Turner,StaceyAnn	Boyle,Danny	Ralston,Aron	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13 Going on 30	2004	37000000	98	6.1	99718	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	39223950	Yribar,Jason	Wyatt,Kimberly(I)	Winick,Gary(I)	Yuspa,Cathy	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13 Sins	2014	4000000	93	6.2	16517	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	9134	Yarborough,Jesse	Woodard,BryleeKate	Stamm,Daniel	Thairatana,Eakasit	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1408	2007	25000000	112	6.8	186224	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	PG-13	131998242	Willoughby,William	Walsh,Kate(I)	Håfström,Mikael	King,Stephen(I)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1492: Conquest of Paradise	1992	40000000	154	6.5	20276	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	59191399	Wincott,Michael	Weaver,Sigourney	Scott,Ridley	Bosch,Rose	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15 Minutes	2001	42000000	120	6.1	39613	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	146445067	Yelchin,Anton	Whyte,Ellen	Herzfeld,John	Herzfeld,John	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16 Blocks	2006	52000000	105	6.6	105371	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	4.5	PG-13	389765760	Zayas,David	Yuste,Beatriz	Donner,Richard	Wenk,Richard	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17 Again	2009	20000000	102	6.4	125393	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	136267476	Wu,Leonard	Zambrana,Maria	Steers,Burr	Filardi,Jason	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1776	1972	4000000	180	7.6	5822	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	24.5	PG	6104000	Slyter,Fred	Vestoff,Virginia	Hunt,PeterH.	Stone,Peter(I)	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
1941	1979	35000000	146	5.9	22768	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5		92455742	Zika,Christian	Williams,Jenny(I)	Spielberg,Steven	Zemeckis,Robert	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2 Days in New York	2012	8000000	96	6.0	10652	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	6609682	Upendran,Panicker	Williams,Malinda	Delpy,Julie	Nahon,Alexandre	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2 Fast 2 Furious	2003	76000000	107	5.7	147704	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	PG-13	107376377	Walker,Paul(I)	Ward,SincerelyA.	Singleton,John(I)	Thompson,GaryScott	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2 Guns	2013	61000000	109	6.8	131100	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	4.5	R	832827987	Zell,Aaron	Thompson,Evie	Kormákur,Baltasar	Masters,Blake	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20 Dates	1998	60000	87	5.3	1620	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	R	3155786	Samaha,Elie	Wagner,Elizabeth(I)	Berkowitz,Myles	Berkowitz,Myles	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20,000 Leagues Under the Sea	1954	5000000	127	7.2	19605	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	4.5	4.5		45640000	Young,Carleton	Pall,Gloria(I)	Fleischer,Richard	Verne,Jules	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200 Cartas	2013	1000000	98	7.5	234	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	34.5		2546350	Valedon,Guillermo	Torres,Dayanara	Irizarry,Bruno	Irizarry,Bruno	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200 Cigarettes	1999	6000000	101	5.8	12390	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5	R	68931896	Vause,Stephen	Wible,Patricia	Garcia,RisaBramon	Larsen,Shana	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001: A Space Odyssey	1968	10500000	146	8.3	347663	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	24.5	34.5		190700000	Woods,Richard(II)	Tyzack,Margaret	Kubrick,Stanley	Kubrick,Stanley	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005 Academy Award Nominated Short Films	2006	125000	162	6.8	31	14.5	0	0	4.5	0	14.5	24.5	24.5	14.5	4.5		469907			Rúnarsson,Rúnar		0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	1984	28000000	116	6.8	37550	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	4.5	4.5		40200000	Tríska,Jan	Ware,Herta	Hyams,Peter	Hyams,Peter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016: Obama's America	2012	2500000	87	5.1	8475	34.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	34.5	PG	220070187	Walker,David(XXXV)	Obama,Sarah	Sullivan,John(XXX)	Sullivan,John(XXX)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2046	2004	12000000	129	7.5	37950	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	R	19986990	Yuen,Ben	Zhang,Ziyi	Wong,KarWai	Wong,KarWai	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2008	35000000	123	6.8	173964	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	4.5	PG-13	157927340	Yoo,Aaron	Williams,Kris(III)	Luketic,Robert	Steinfeld,Peter(II)	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 & Over	2013	13000000	93	5.9	51184	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	R	45582380	Ybarra,Dustin	Wright,Sarah(VII)	Moore,Scott(I)	Moore,Scott(I)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 Grams	2003	20000000	124	7.7	168739	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	168806961	West,JohnBoyd	Watts,Naomi	GonzálezIñárritu,Alejandro	Arriaga,Guillermo(I)	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 Jump Street	2012	42000000	109	7.2	333688	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	R	201585328	Wong,Stanley(III)	Wagner,Tiffney	Miller,Christopher(XXXIV)	Hill,Jonah	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22 Jump Street	2014	50000000	112	7.2	175065	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	R	1855154364	Zakzouk,Ahmed	Wilson,Skyler(II)	Miller,Christopher(XXXIV)	Uziel,Oren	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25th Hour	2002	15000000	108	7.7	138436	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	155362902	Zhivotovsky,Igor	White,MicholeBriana	Lee,Spike	Benioff,David	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27 Dresses	2008	30000000	111	6.1	103611	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	160259319	Vanterpool,Tacuma	Witty,Lynn	Fletcher,Anne	BroshMcKenna,Aline(I)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28 Days	2000	43000000	103	6.0	30933	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	62198945	Wood,Stan(I)	Yates,Suellen	Thomas,Betty(I)	Grant,Susannah	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28 Days Later...	2002	8000000	113	7.6	259828	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	37654970	Young,Steen	Simpson,Joelle	Boyle,Danny	Garland,Alex(I)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3 Days to Kill	2014	28000000	123	6.2	54507	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	330215520	Zader,Omid(III)	Viau,Aurelie	McG	Hasak,Adi	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3 Godfathers	1948	1243000	106	7.2	5500	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	14.5	14.5		5682000	Worden,Hank	Yelda,Amelia	Ford,John(I)	Stallings,Laurence	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3 Men and a Baby	1987	11000000	102	5.8	33130	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5		167780960	Whittaker,Jonathan(I)	Vallance,Stevie	Nimoy,Leonard	Serreau,Coline	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3 Ninjas	1992	6500000	87	5.1	14563	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	14.5	PG	114762687	Wong,Victor(III)	Sargeant,Kate	Turteltaub,Jon	Kim,Kenny	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3 Ninjas Kick Back	1994	20000000	99	4.2	5932	14.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	14.5	PG	11784000	Ôfuji	Sabban,Maital	Kanganis,CharlesT.	Shin,Sang-ok	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3 Strikes	2000	6000000	82	3.8	1354	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5		127522488	Winter,TerencePaul	Wright,N'Bushe	Pooh,DJ	Pooh,DJ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 Beats	2012	1000000	88	4.0	658	14.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	R	23310	Winckler,Cecile	Zambrana,Angelic	Lloyd,Alexis	Lloyd,Alexis	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 Days of Night	2007	32000000	113	6.6	125166	4.5	4.5	4.5	4.5	4.5	24.5	24.5	14.5	4.5	4.5	R	128620614	Wraight,John	Windle,Min	Slade,David(I)	Templesmith,Ben	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 Minutes or Less	2011	28000000	83	6.2	70878	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	216912034	Ward,Fred(I)	Yousif,Stephanie	Fleischer,Ruben	Sullivan,Matthew(IX)	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	2006	65000000	117	7.8	530019	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	R	456068181	Wisdom,Tom(I)	Wnorowska,Agnieshka	Snyder,Zack	Varley,Lynn	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3000 Miles to Graceland	2001	42000000	125	5.9	35661	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	111959325	Zajonc,Robert'BobbyZ'	Swinney,Stephanie	Lichtenstein,Demian	Recco,Richard	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300: Rise of an Empire	2014	110000000	102	6.3	177597	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	331114051	Wenham,David	McCrumb,Nancy	Murro,Noam	Snyder,Zack	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3:10 to Yuma	2007	55000000	122	7.8	212072	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	491961815	Wilson,Luke(I)	Shaw,Vinessa	Mangold,James	Welles,Halsted	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
40 Days and 40 Nights	2002	17000000	96	5.6	58306	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	R	40500000	Trese,Adam	Zanni,Chiara	Lehmann,Michael(I)	Perez,Rob(I)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	2013	40000000	128	7.5	57445	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	PG-13	1245903699	Ysidro,Michael(I)	Walker,Bilan	Helgeland,Brian	Helgeland,Brian	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
42nd Street	1933	439000	89	7.7	7066	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	24.5		2300000	Warren,Harry(I)	Wing,Toby	Bacon,Lloyd	Seymour,James	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
47 Ronin	2013	175000000	128	6.3	97955	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	PG-13	150962475	Yonemoto,Takato	Wong,Leila(I)	Rinsch,Carl	Morgan,Chris(I)	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4: Rise of the Silver Surfer	2007	130000000	92	5.6	184886	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	PG	2677263090	Welsh,Kenneth	Washington,Kerry(I)	Story,Tim(I)	Turman,John(I)	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5 Days of War	2011	20000000	113	5.6	11298	24.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	R	39296	Yudt,Rick	Walton,Anna(I)	Harlin,Renny	Battle,David(IV)	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
50 First Dates	2004	75000000	99	6.8	232013	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	PG-13	196485100	Yan,Lin	Winnick,Katheryn	Segal,Peter	Wing,George(II)	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50 to 1	2014	10000000	110	7.7	343	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	64.5	PG-13	9368484	Yeste	Wilcox,Suzanne	Wilson,Jim(I)	Wilson,Jim(I)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50/50	2011	8000000	100	7.7	240252	4.5	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	14.5	R	39187783	William(XVI)	Yamamoto,Donna	Levine,Jonathan(II)	Reiser,Will	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	1998	13000000	100	5.8	25884	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	R	54555028	York,Michael(I)	Webb,Veronica	Christopher,Mark(I)	Christopher,Mark(I)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
55 Days at Peking	1963	17000000	154	6.8	3946	4.5	4.5	4.5	4.5	4.5	24.5	34.5	14.5	4.5	4.5		10000000	Yuen,SiuTin	Soong,Lucille	Ray,Nicholas(I)	Yordan,Philip	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
6 Bullets	2012	10000000	115	6.1	10022	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	14.5	R	172026	Vandenberghe,Sebastien	Zainea,Estera	Barbarash,Ernie	Law,Evan	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7 Khoon Maaf	2011	4770000	137	6.2	3661	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5		6187845	Verma,Sanjay(VII)	Uthup,Usha	Bhardwaj,Vishal(I)	Robbins,Matthew(I)	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8 Heads in a Duffel Bag	1997	3000000	95	5.2	7504	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	R	8844852	Zurlo,John	Vaughn,TerriJ.	Schulman,Tom	Schulman,Tom	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8 Mile	2002	41000000	110	6.9	155274	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	4.5	14.5	R	242875078	Xzibit	Zaglanikzny,Melissa	Hanson,Curtis	Silver,Scott(I)	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8 Million Ways to Die	1986	18000000	115	5.6	3000	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5		3521845	Younger,Jack(II)	Sloan,Lisa	Ashby,Hal	Towne,Robert(I)	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8 Seconds	1994	7000000	105	6.4	3565	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	14.5	PG-13	19604000	Thomas,Billy	Zellweger,Renée	Avildsen,JohnG.	Merrick,Monte(I)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
88 Minutes	2007	30000000	108	5.9	60435	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	R	68342990	Turner,Brad(III)	Yannai,Michal	Avnet,Jon	Thompson,GaryScott	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8: The Mormon Proposition	2010	2500000	80	7.1	1077	14.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	24.5	R	397896	Williams,Troy(IX)	Worthington,Deanna	Greenstreet,Steven	Cowan,Reed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
